symbol,number,multiplicity,wyckoff,site_symmetry,coordinates
I 1 1 2/m,68,8.0,j,1,"(x,y,z) (-x,-y,z) (-x,-y,-z) (x,y,-z)"
I 1 1 2/m,68,4.0,i,m,"(x,y,0) (-x,-y,0)"
I 1 1 2/m,68,4.0,h,2,"(1/2,0,z) (1/2,0,-z)"
I 1 1 2/m,68,4.0,g,2,"(0,0,z) (0,0,-z)"
I 1 1 2/m,68,4.0,f,-1,"(3/4,1/4,1/4) (1/4,3/4,1/4)"
I 1 1 2/m,68,4.0,e,-1,"(1/4,1/4,1/4) (3/4,3/4,1/4)"
I 1 1 2/m,68,2.0,d,2/m,"(1/2,0,1/2)"
I 1 1 2/m,68,2.0,c,2/m,"(1/2,0,0)"
I 1 1 2/m,68,2.0,b,2/m,"(0,0,1/2)"
I 1 1 2/m,68,2.0,a,2/m,"(0,0,0)"
B 2/m 1 1,69,8.0,j,1,"(x,y,z) (x,-y,-z) (-x,-y,-z) (-x,y,z)"
B 2/m 1 1,69,4.0,i,m,"(0,y,z) (0,-y,-z)"
B 2/m 1 1,69,4.0,h,2,"(x,1/2,0) (-x,1/2,0)"
B 2/m 1 1,69,4.0,g,2,"(x,0,0) (-x,0,0)"
B 2/m 1 1,69,4.0,f,-1,"(1/4,1/2,1/4) (1/4,1/2,3/4)"
B 2/m 1 1,69,4.0,e,-1,"(1/4,0,1/4) (1/4,0,3/4)"
B 2/m 1 1,69,2.0,d,2/m,"(1/2,1/2,0)"
B 2/m 1 1,69,2.0,c,2/m,"(0,1/2,0)"
B 2/m 1 1,69,2.0,b,2/m,"(1/2,0,0)"
B 2/m 1 1,69,2.0,a,2/m,"(0,0,0)"
C 2/m 1 1,70,8.0,j,1,"(x,y,z) (x,-y,-z) (-x,-y,-z) (-x,y,z)"
C 2/m 1 1,70,4.0,i,m,"(0,y,z) (0,-y,-z)"
C 2/m 1 1,70,4.0,h,2,"(x,0,1/2) (-x,0,1/2)"
