number,multiplicity,wyckoff,wyckoff_in_space,site_symmetry,coordinates
64,16,h,k,1,"(x,y,z) (-x+1/2,-y+1/2,z) (-y+1/2,x,z) (y,-x+1/2,z) (-x,y+1/2,-z) (x+1/2,-y,-z) (y+1/2,x+1/2,-z) (-y,-x,-z) (-x,-y,-z) (x+1/2,y+1/2,-z) (y+1/2,-x,-z) (-y,x+1/2,-z) (x,-y+1/2,z) (-x+1/2,y,z) (-y+1/2,-x+1/2,z) (y,x,z)"
64,8,g,j,..m,"(x,x,z) (-x+1/2,-x+1/2,z) (-x+1/2,x,z) (x,-x+1/2,z) (-x,x+1/2,-z) (x+1/2,-x,-z) (x+1/2,x+1/2,-z) (-x,-x,-z)"
64,8,f,i,.m.,"(1/4,y,z) (1/4,-y+1/2,z) (-y+1/2,1/4,z) (y,1/4,z) (3/4,y+1/2,-z) (3/4,-y,-z) (y+1/2,3/4,-z) (-y,3/4,-z)"
64,8,e,g,..2,"(x,-x,0) (-x+1/2,x+1/2,0) (x+1/2,x,0) (-x,-x+1/2,0) (-x,x,0) (x+1/2,-x+1/2,0) (-x+1/2,-x,0) (x,x+1/2,0)"
64,4,d,f,2mm.,"(3/4,1/4,z) (1/4,3/4,z) (1/4,3/4,-z) (3/4,1/4,-z)"
64,4,c,d,..2/m,"(0,0,0) (1/2,1/2,0) (1/2,0,0) (0,1/2,0)"
64,2,b,c,4mm,"(1/4,1/4,z) (3/4,3/4,-z)"
64,2,a,a,-4m2,"(3/4,1/4,0) (1/4,3/4,0)"
65,3,d,d,1,"(x,y,z) (-y,x-y,z) (-x+y,-x,z)"
65,1,c,c,3..,"(2/3,1/3,z)"
65,1,b,b,3..,"(1/3,2/3,z)"
65,1,a,a,3..,"(0,0,z)"
66,6,e,g,1,"(x,y,z) (-y,x-y,z) (-x+y,-x,z) (-x,-y,-z) (y,-x+y,-z) (x-y,x,-z)"
66,3,d,e,-1,"(1/2,0,0) (0,1/2,0) (1/2,1/2,0)"
66,2,c,d,3..,"(1/3,2/3,z) (2/3,1/3,-z)"
66,2,b,c,3..,"(0,0,z) (0,0,-z)"
66,1,a,a,-3..,"(0,0,0)"
67,6,h,l,1,"(x,y,z) (-y,x-y,z) (-x+y,-x,z) (-y,-x,-z) (-x+y,y,-z) (x,x-y,-z)"
67,3,g,j,..2,"(x,-x,0) (x,2x,0) (-2x,-x,0)"
67,2,f,i,3..,"(2/3,1/3,z) (2/3,1/3,-z)"
67,2,e,h,3..,"(1/3,2/3,z) (1/3,2/3,-z)"
67,2,d,g,3..,"(0,0,z) (0,0,-z)"
67,1,c,e,3.2,"(2/3,1/3,0)"
67,1,b,c,3.2,"(1/3,2/3,0)"
67,1,a,a,3.2,"(0,0,0)"
